#OTU ID	YD17L1	YD17L2	YD17L3	YD17L4	YD24L1	YD24L2	YD24L3	YD24L4	YD32L1	YD32L2	YD32L3	YD32L4	YD3L1	YD3L2	YD3L3	YD3L4	YD43L1	YD43L2	YD43L3	YD43L4	YD45L1	YD45L2	YD45L3	YD45L4
Zotu2533	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2219	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu447	0	0	18	0	27	5	0	0	28	0	0	0	0	0	0	1	0	0	22	0	9	0	1	20
Zotu2196	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu274	0	0	14	1	0	0	0	25	3	0	18	0	0	0	0	2	0	0	0	4	0	0	0	211
Zotu923	0	0	25	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
Zotu2444	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu983	0	0	24	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Zotu1280	0	0	18	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu2294	0	0	11	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1485	0	0	11	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Zotu1603	0	0	2	0	0	0	1	5	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	2
Zotu558	0	0	32	1	0	7	36	10	9	0	0	0	0	1	0	0	0	7	0	0	0	0	0	1
Zotu962	0	0	14	0	13	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0
Zotu1213	0	0	15	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu1623	0	0	6	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Zotu4662	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Zotu844	0	0	4	3	0	7	19	18	4	0	1	2	0	0	0	0	0	4	8	3	1	1	3	9
Zotu1069	0	0	19	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu681	0	0	30	0	0	0	0	0	2	0	9	0	5	0	0	0	2	0	1	0	11	0	0	0
Zotu1288	0	0	13	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Zotu3969	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu758	0	0	34	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Zotu4249	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3198	0	0	4	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
